Supplier,SKU_ID,SKU_Category,Defect_Rate_PPM,Lead_Time_Variance_Days,Price_Volatility_Pct
Vanguard Brake Systems,SKU-00119,Brake Systems,35.6,5.56,1.33
Silverline Plastics,SKU-00400,Transmission Parts,29.9,3.01,3.42
Summit Casting Group,SKU-00376,Engine Components,45.8,3.07,0.73
BlueRidge Rubber & Seals,SKU-00470,Sensors,36.9,1.43,0.68
Atlas Suspension Ltd,SKU-00088,Transmission Parts,46.4,0.26,1.14
Summit Casting Group,SKU-00372,Suspension,38.6,1.67,2.52
Silverline Plastics,SKU-00488,Interior Trim,48.7,3.39,2.8
Pinnacle Fasteners Co,SKU-00397,Engine Components,58.7,2.5,14.47
Volt Precision Parts,SKU-00098,Suspension,338.1,2.64,1.88
Vanguard Brake Systems,SKU-00428,Fasteners,41.0,1.68,2.54
Falcon Wiring Harness,SKU-00056,Engine Components,43.9,1.84,1.67
Cobalt Hydraulics,SKU-00307,Transmission Parts,30.5,3.48,2.26
EverTrust Powertrain,SKU-00259,Electrical Systems,34.6,3.31,1.75
Summit Casting Group,SKU-00277,Body & Chassis,28.1,3.52,1.77
Atlas Suspension Ltd,SKU-00271,Brake Systems,40.1,2.54,3.11
IronClad Metal Works,SKU-00017,Interior Trim,45.2,10.6,2.64
BlueRidge Rubber & Seals,SKU-00265,Sensors,39.2,4.39,2.2
EverTrust Powertrain,SKU-00488,Interior Trim,18.2,2.86,3.76
Falcon Wiring Harness,SKU-00228,Interior Trim,63.9,4.33,1.38
BlueRidge Rubber & Seals,SKU-00144,Body & Chassis,55.9,1.78,2.38
Quantum Sensor Corp,SKU-00518,Engine Components,29.7,1.86,1.66
Silverline Plastics,SKU-00052,Electrical Systems,55.8,3.3,2.42
Titan Forge Industries,SKU-00253,Electrical Systems,28.8,2.19,1.6
IronClad Metal Works,SKU-00267,Body & Chassis,55.4,21.3,3.05
Quantum Sensor Corp,SKU-00249,Exhaust Systems,35.9,0.0,0.79
Volt Precision Parts,SKU-00480,Electrical Systems,388.2,2.1,1.6
Meridian Electronics,SKU-00220,Sensors,64.7,3.77,2.22
Apex Drivetrain Solutions,SKU-00507,Interior Trim,168.3,10.6,2.38
Horizon Interior Trim,SKU-00035,Fasteners,64.2,2.92,2.78
Orion Chassis Works,SKU-00382,Sensors,59.0,1.33,2.8
Vanguard Brake Systems,SKU-00309,Transmission Parts,41.5,0.0,0.5
Atlas Suspension Ltd,SKU-00126,Interior Trim,32.8,3.03,2.29
EverTrust Powertrain,SKU-00119,Brake Systems,47.2,4.45,1.18
Granite Bearing Co,SKU-00375,Fasteners,44.7,2.8,1.61
Crestline Components,SKU-00332,Transmission Parts,45.3,0.9,3.33
Summit Casting Group,SKU-00318,Exhaust Systems,36.8,4.53,2.17
Silverline Plastics,SKU-00027,Body & Chassis,57.3,2.45,2.18
Meridian Electronics,SKU-00311,Suspension,38.0,2.62,2.45
Vanguard Brake Systems,SKU-00511,Sensors,35.6,2.37,1.71
Silverline Plastics,SKU-00010,Engine Components,72.6,2.41,3.44
NorthStar Exhaust Systems,SKU-00244,Suspension,42.7,2.76,1.14
Falcon Wiring Harness,SKU-00258,Electrical Systems,39.6,2.71,3.47
BlueRidge Rubber & Seals,SKU-00467,Electrical Systems,47.7,3.88,2.71
Orion Chassis Works,SKU-00148,Brake Systems,64.5,2.44,4.11
Summit Casting Group,SKU-00248,Body & Chassis,39.2,1.73,1.23
Meridian Electronics,SKU-00373,Body & Chassis,73.0,3.32,1.93
Vanguard Brake Systems,SKU-00032,Brake Systems,60.0,3.19,3.77
IronClad Metal Works,SKU-00417,Sensors,26.4,14.81,1.83
Silverline Plastics,SKU-00428,Fasteners,21.3,3.56,1.98
Summit Casting Group,SKU-00375,Fasteners,53.9,4.86,1.92
Crestline Components,SKU-00338,Transmission Parts,39.9,2.62,2.99
Granite Bearing Co,SKU-00389,Fasteners,38.2,1.87,3.05
Granite Bearing Co,SKU-00407,Body & Chassis,49.5,0.46,1.22
Horizon Interior Trim,SKU-00470,Sensors,63.0,2.9,1.59
Titan Forge Industries,SKU-00223,Exhaust Systems,43.0,2.51,2.79
EverTrust Powertrain,SKU-00238,Body & Chassis,28.7,1.66,2.42
Orion Chassis Works,SKU-00332,Transmission Parts,43.8,3.07,1.22
Cobalt Hydraulics,SKU-00101,Fasteners,49.3,3.59,2.59
Silverline Plastics,SKU-00446,Suspension,46.7,2.4,1.53
Granite Bearing Co,SKU-00401,Sensors,44.1,3.76,2.1
Pinnacle Fasteners Co,SKU-00329,Electrical Systems,34.3,2.01,14.14
Crestline Components,SKU-00157,Electrical Systems,40.5,2.99,2.62
Volt Precision Parts,SKU-00181,Sensors,358.9,3.92,3.0
Orion Chassis Works,SKU-00227,Fasteners,33.8,1.6,2.14
EverTrust Powertrain,SKU-00345,Sensors,39.6,1.36,1.85
NorthStar Exhaust Systems,SKU-00405,Body & Chassis,39.3,1.83,1.95
Horizon Interior Trim,SKU-00350,Electrical Systems,59.1,2.7,4.18
Apex Drivetrain Solutions,SKU-00484,Exhaust Systems,186.8,10.13,2.2
EverTrust Powertrain,SKU-00500,Body & Chassis,48.1,2.94,3.86
Volt Precision Parts,SKU-00367,Body & Chassis,263.5,3.36,2.37
Volt Precision Parts,SKU-00193,Suspension,223.6,3.27,3.21
Meridian Electronics,SKU-00312,Suspension,34.7,2.49,0.82
Volt Precision Parts,SKU-00222,Body & Chassis,240.8,3.55,1.83
Horizon Interior Trim,SKU-00328,Engine Components,31.7,2.73,1.78
NorthStar Exhaust Systems,SKU-00423,Exhaust Systems,39.4,3.24,1.27
Vanguard Brake Systems,SKU-00193,Suspension,34.1,2.65,2.98
Volt Precision Parts,SKU-00263,Brake Systems,378.1,1.83,2.95
IronClad Metal Works,SKU-00024,Sensors,35.6,24.22,1.29
Quantum Sensor Corp,SKU-00384,Brake Systems,60.9,1.84,3.81
Volt Precision Parts,SKU-00255,Suspension,342.5,1.48,1.78
Falcon Wiring Harness,SKU-00240,Suspension,54.4,3.55,2.14
Meridian Electronics,SKU-00277,Body & Chassis,45.5,3.26,2.31
Summit Casting Group,SKU-00113,Interior Trim,29.5,1.69,2.39
Quantum Sensor Corp,SKU-00311,Suspension,59.6,4.12,2.82
Atlas Suspension Ltd,SKU-00388,Fasteners,48.4,3.25,1.67
Apex Drivetrain Solutions,SKU-00182,Electrical Systems,173.9,8.53,1.2
IronClad Metal Works,SKU-00069,Engine Components,49.0,16.83,2.75
Silverline Plastics,SKU-00202,Sensors,51.6,2.74,2.65
Apex Drivetrain Solutions,SKU-00104,Engine Components,178.3,12.24,1.62
NorthStar Exhaust Systems,SKU-00195,Sensors,49.4,3.17,1.66
Titan Forge Industries,SKU-00326,Brake Systems,45.6,1.88,1.78
Vanguard Brake Systems,SKU-00059,Exhaust Systems,31.5,3.77,3.05
Atlas Suspension Ltd,SKU-00389,Fasteners,51.4,4.47,2.05
Granite Bearing Co,SKU-00117,Engine Components,81.4,2.27,2.4
Cobalt Hydraulics,SKU-00466,Sensors,40.2,2.87,2.87
Meridian Electronics,SKU-00381,Engine Components,43.6,4.28,2.39
Vanguard Brake Systems,SKU-00142,Brake Systems,48.2,1.59,2.53
Meridian Electronics,SKU-00293,Sensors,43.4,1.89,1.58
Titan Forge Industries,SKU-00058,Electrical Systems,77.1,2.24,1.03
Orion Chassis Works,SKU-00052,Electrical Systems,36.6,2.45,2.64
Meridian Electronics,SKU-00498,Transmission Parts,51.7,3.18,1.68
Vanguard Brake Systems,SKU-00418,Electrical Systems,49.1,1.62,1.7
EverTrust Powertrain,SKU-00081,Sensors,34.0,1.31,3.05
Volt Precision Parts,SKU-00147,Engine Components,347.9,3.48,2.23
Horizon Interior Trim,SKU-00103,Fasteners,54.3,0.74,2.89
Falcon Wiring Harness,SKU-00206,Brake Systems,47.1,3.13,2.5
IronClad Metal Works,SKU-00152,Brake Systems,33.2,9.26,1.63
Volt Precision Parts,SKU-00171,Electrical Systems,341.1,3.19,1.11
IronClad Metal Works,SKU-00276,Body & Chassis,33.2,12.75,1.91
Silverline Plastics,SKU-00099,Suspension,28.7,1.08,1.54
Apex Drivetrain Solutions,SKU-00460,Electrical Systems,183.5,7.46,2.11
Pinnacle Fasteners Co,SKU-00379,Transmission Parts,57.7,1.2,12.84
Apex Drivetrain Solutions,SKU-00396,Fasteners,221.0,9.75,1.74
Volt Precision Parts,SKU-00089,Exhaust Systems,374.0,2.19,3.08
BlueRidge Rubber & Seals,SKU-00369,Engine Components,50.1,2.16,2.58
Meridian Electronics,SKU-00435,Body & Chassis,48.8,3.52,1.76
Crestline Components,SKU-00092,Fasteners,45.5,2.44,2.76
BlueRidge Rubber & Seals,SKU-00391,Exhaust Systems,32.7,3.52,2.57
Cobalt Hydraulics,SKU-00186,Body & Chassis,29.2,3.71,3.99
Apex Drivetrain Solutions,SKU-00410,Engine Components,220.1,15.28,2.27
Silverline Plastics,SKU-00249,Exhaust Systems,25.1,0.66,2.4
BlueRidge Rubber & Seals,SKU-00418,Electrical Systems,37.9,1.59,2.15
Pinnacle Fasteners Co,SKU-00077,Transmission Parts,52.4,1.05,12.06
Granite Bearing Co,SKU-00203,Body & Chassis,63.1,1.42,2.9
Silverline Plastics,SKU-00143,Brake Systems,39.2,3.05,3.08
Meridian Electronics,SKU-00130,Suspension,53.9,3.41,1.28
Silverline Plastics,SKU-00161,Sensors,58.4,1.65,2.41
Horizon Interior Trim,SKU-00199,Transmission Parts,48.1,2.99,2.47
BlueRidge Rubber & Seals,SKU-00067,Sensors,34.9,1.15,2.9
EverTrust Powertrain,SKU-00368,Transmission Parts,47.2,3.65,2.16
Quantum Sensor Corp,SKU-00287,Electrical Systems,28.1,3.47,1.9
Cobalt Hydraulics,SKU-00432,Exhaust Systems,49.1,1.85,3.52
Vanguard Brake Systems,SKU-00367,Body & Chassis,34.5,2.16,2.29
Cobalt Hydraulics,SKU-00078,Brake Systems,31.9,2.83,3.49
BlueRidge Rubber & Seals,SKU-00037,Fasteners,39.1,2.9,0.0
Meridian Electronics,SKU-00220,Sensors,44.5,2.19,1.55
Atlas Suspension Ltd,SKU-00251,Electrical Systems,58.0,2.17,2.06
Vanguard Brake Systems,SKU-00125,Fasteners,40.5,0.58,1.29
Volt Precision Parts,SKU-00407,Body & Chassis,362.9,0.39,1.59
Apex Drivetrain Solutions,SKU-00303,Engine Components,164.0,16.23,2.81
Vanguard Brake Systems,SKU-00389,Fasteners,38.3,3.8,1.61
Apex Drivetrain Solutions,SKU-00057,Interior Trim,220.4,6.92,3.06
Pinnacle Fasteners Co,SKU-00424,Interior Trim,40.1,1.47,12.81
Falcon Wiring Harness,SKU-00108,Suspension,48.3,2.01,2.64
Falcon Wiring Harness,SKU-00234,Exhaust Systems,38.0,3.12,2.55
Falcon Wiring Harness,SKU-00229,Interior Trim,44.3,2.06,2.32
Vanguard Brake Systems,SKU-00427,Fasteners,51.6,4.56,2.95
Silverline Plastics,SKU-00144,Body & Chassis,56.7,5.59,2.61
BlueRidge Rubber & Seals,SKU-00126,Interior Trim,50.8,3.2,1.39
IronClad Metal Works,SKU-00177,Exhaust Systems,39.7,13.72,2.72
IronClad Metal Works,SKU-00188,Transmission Parts,42.9,16.62,3.07
Orion Chassis Works,SKU-00095,Fasteners,55.4,2.34,1.66
Pinnacle Fasteners Co,SKU-00092,Fasteners,58.6,3.27,8.36
NorthStar Exhaust Systems,SKU-00121,Body & Chassis,41.2,2.67,2.82
EverTrust Powertrain,SKU-00244,Suspension,55.9,2.78,2.67
Apex Drivetrain Solutions,SKU-00179,Sensors,182.6,8.98,1.99
Apex Drivetrain Solutions,SKU-00204,Suspension,180.8,10.9,0.69
EverTrust Powertrain,SKU-00374,Transmission Parts,40.2,2.56,1.97
BlueRidge Rubber & Seals,SKU-00126,Interior Trim,42.0,2.99,1.34
IronClad Metal Works,SKU-00474,Body & Chassis,25.5,14.43,2.81
Silverline Plastics,SKU-00391,Exhaust Systems,65.3,3.28,1.03
Silverline Plastics,SKU-00091,Body & Chassis,42.2,2.76,2.34
NorthStar Exhaust Systems,SKU-00164,Body & Chassis,51.5,1.58,2.25
BlueRidge Rubber & Seals,SKU-00096,Brake Systems,50.0,3.33,1.56
Summit Casting Group,SKU-00142,Brake Systems,40.9,0.0,1.7
Volt Precision Parts,SKU-00191,Suspension,281.2,1.48,2.33
BlueRidge Rubber & Seals,SKU-00069,Engine Components,44.3,0.24,2.37
Summit Casting Group,SKU-00008,Suspension,33.9,2.99,1.17
Orion Chassis Works,SKU-00229,Interior Trim,45.4,2.22,2.44
Cobalt Hydraulics,SKU-00365,Electrical Systems,46.5,2.24,0.97
Apex Drivetrain Solutions,SKU-00158,Interior Trim,120.9,9.25,2.19
BlueRidge Rubber & Seals,SKU-00448,Sensors,37.7,3.13,1.98
Meridian Electronics,SKU-00193,Suspension,33.4,2.22,2.38
Silverline Plastics,SKU-00469,Electrical Systems,48.9,4.38,1.66
Meridian Electronics,SKU-00123,Suspension,44.1,2.93,2.18
BlueRidge Rubber & Seals,SKU-00281,Brake Systems,39.0,0.95,1.79
Crestline Components,SKU-00397,Engine Components,32.1,0.77,1.56
Atlas Suspension Ltd,SKU-00031,Body & Chassis,32.4,3.08,2.68
Orion Chassis Works,SKU-00484,Exhaust Systems,34.2,2.24,0.71
Falcon Wiring Harness,SKU-00190,Transmission Parts,39.1,2.9,2.86
Crestline Components,SKU-00259,Electrical Systems,36.4,3.55,0.99
Granite Bearing Co,SKU-00327,Brake Systems,30.0,3.21,3.54
EverTrust Powertrain,SKU-00335,Body & Chassis,50.9,2.46,0.44
Atlas Suspension Ltd,SKU-00013,Exhaust Systems,20.7,2.63,1.91
NorthStar Exhaust Systems,SKU-00451,Sensors,31.7,2.57,2.29
Apex Drivetrain Solutions,SKU-00325,Sensors,217.8,11.41,3.18
Cobalt Hydraulics,SKU-00520,Interior Trim,45.1,2.38,3.05
NorthStar Exhaust Systems,SKU-00246,Engine Components,33.3,5.31,2.5
Atlas Suspension Ltd,SKU-00320,Exhaust Systems,49.6,3.03,3.7
Volt Precision Parts,SKU-00230,Electrical Systems,353.6,0.89,3.32
Silverline Plastics,SKU-00463,Exhaust Systems,40.9,2.61,1.18
Quantum Sensor Corp,SKU-00433,Fasteners,51.3,1.85,2.28
Orion Chassis Works,SKU-00473,Body & Chassis,41.6,4.43,3.79
IronClad Metal Works,SKU-00263,Brake Systems,45.6,16.29,1.9
EverTrust Powertrain,SKU-00412,Brake Systems,58.3,2.17,1.86
Pinnacle Fasteners Co,SKU-00187,Electrical Systems,56.7,1.96,13.38
Meridian Electronics,SKU-00240,Suspension,26.0,3.2,3.75
Silverline Plastics,SKU-00396,Fasteners,53.7,3.96,1.52
Silverline Plastics,SKU-00043,Exhaust Systems,47.8,1.56,2.02
Meridian Electronics,SKU-00370,Exhaust Systems,54.3,2.6,1.07
Titan Forge Industries,SKU-00009,Brake Systems,29.2,1.12,2.59
Falcon Wiring Harness,SKU-00302,Fasteners,69.8,3.86,0.68
Silverline Plastics,SKU-00249,Exhaust Systems,62.1,3.44,0.96
Quantum Sensor Corp,SKU-00244,Suspension,41.4,3.6,2.64
NorthStar Exhaust Systems,SKU-00258,Electrical Systems,29.3,3.11,0.49
Falcon Wiring Harness,SKU-00256,Electrical Systems,42.3,3.64,2.21
Falcon Wiring Harness,SKU-00212,Exhaust Systems,39.0,3.39,2.98
Granite Bearing Co,SKU-00235,Body & Chassis,60.7,3.37,3.07
Crestline Components,SKU-00296,Interior Trim,53.8,2.77,2.27
Volt Precision Parts,SKU-00398,Electrical Systems,297.0,1.29,1.44
Silverline Plastics,SKU-00288,Interior Trim,41.6,2.74,3.35
Silverline Plastics,SKU-00335,Body & Chassis,44.5,3.5,3.06
Cobalt Hydraulics,SKU-00436,Electrical Systems,42.2,3.09,2.01
Volt Precision Parts,SKU-00515,Sensors,382.7,3.14,1.25
Meridian Electronics,SKU-00057,Interior Trim,46.9,4.15,2.06
Falcon Wiring Harness,SKU-00371,Transmission Parts,50.4,3.05,1.37
Apex Drivetrain Solutions,SKU-00118,Electrical Systems,200.4,6.82,1.7
EverTrust Powertrain,SKU-00103,Fasteners,57.9,2.86,1.96
Quantum Sensor Corp,SKU-00413,Brake Systems,50.4,2.44,2.21
Falcon Wiring Harness,SKU-00036,Engine Components,52.9,1.77,2.23
Silverline Plastics,SKU-00441,Sensors,41.3,0.91,1.46
Quantum Sensor Corp,SKU-00401,Sensors,63.8,2.88,1.14
Vanguard Brake Systems,SKU-00518,Engine Components,26.5,2.39,3.45
BlueRidge Rubber & Seals,SKU-00348,Sensors,42.8,3.81,2.48
BlueRidge Rubber & Seals,SKU-00454,Engine Components,50.7,1.16,2.95
Atlas Suspension Ltd,SKU-00062,Exhaust Systems,41.0,3.36,1.55
BlueRidge Rubber & Seals,SKU-00463,Exhaust Systems,47.1,2.85,2.08
EverTrust Powertrain,SKU-00084,Fasteners,49.9,2.23,1.68
Titan Forge Industries,SKU-00164,Body & Chassis,64.3,3.55,1.59
Meridian Electronics,SKU-00067,Sensors,51.8,1.76,1.25
Quantum Sensor Corp,SKU-00209,Brake Systems,57.4,0.8,2.94
Quantum Sensor Corp,SKU-00390,Electrical Systems,42.0,2.29,2.53
IronClad Metal Works,SKU-00140,Body & Chassis,52.0,12.28,2.77
Pinnacle Fasteners Co,SKU-00428,Fasteners,46.4,1.24,12.96
Orion Chassis Works,SKU-00316,Suspension,61.6,4.18,2.77
Vanguard Brake Systems,SKU-00328,Engine Components,30.7,2.99,2.88
EverTrust Powertrain,SKU-00489,Exhaust Systems,53.7,3.28,2.49
Meridian Electronics,SKU-00225,Exhaust Systems,44.1,1.89,0.68
Volt Precision Parts,SKU-00180,Interior Trim,328.7,2.69,2.65
Granite Bearing Co,SKU-00518,Engine Components,28.9,3.15,3.84
Silverline Plastics,SKU-00290,Body & Chassis,45.9,2.44,2.45
Summit Casting Group,SKU-00320,Exhaust Systems,69.4,1.48,2.36
Meridian Electronics,SKU-00155,Body & Chassis,35.4,1.95,2.16
Pinnacle Fasteners Co,SKU-00113,Interior Trim,61.2,4.3,14.93
NorthStar Exhaust Systems,SKU-00089,Exhaust Systems,40.5,4.99,1.86
Titan Forge Industries,SKU-00117,Engine Components,38.1,0.73,3.32
Meridian Electronics,SKU-00102,Electrical Systems,56.6,4.92,1.09
Volt Precision Parts,SKU-00389,Fasteners,390.2,2.57,2.84
Titan Forge Industries,SKU-00031,Body & Chassis,25.2,3.97,2.83
EverTrust Powertrain,SKU-00328,Engine Components,44.5,3.15,1.59
Orion Chassis Works,SKU-00494,Suspension,38.0,2.04,0.72
Titan Forge Industries,SKU-00399,Brake Systems,55.3,3.69,1.64
Volt Precision Parts,SKU-00210,Exhaust Systems,329.2,2.23,2.46
Meridian Electronics,SKU-00031,Body & Chassis,37.5,1.62,3.04
Summit Casting Group,SKU-00434,Electrical Systems,44.2,4.52,2.24
Granite Bearing Co,SKU-00002,Exhaust Systems,33.9,3.73,2.7
Silverline Plastics,SKU-00355,Sensors,53.7,3.69,1.68
Silverline Plastics,SKU-00349,Electrical Systems,43.5,2.33,1.17
EverTrust Powertrain,SKU-00100,Electrical Systems,41.8,3.84,2.39
EverTrust Powertrain,SKU-00385,Engine Components,28.8,0.94,3.53
EverTrust Powertrain,SKU-00092,Fasteners,43.9,1.85,1.98
Volt Precision Parts,SKU-00118,Electrical Systems,228.7,3.92,1.89
IronClad Metal Works,SKU-00423,Exhaust Systems,61.4,16.23,3.34
Summit Casting Group,SKU-00510,Brake Systems,48.1,3.35,2.78
Crestline Components,SKU-00138,Engine Components,52.5,2.85,2.01
Volt Precision Parts,SKU-00480,Electrical Systems,415.3,1.59,2.2
Cobalt Hydraulics,SKU-00475,Suspension,45.2,2.9,1.86
BlueRidge Rubber & Seals,SKU-00401,Sensors,48.8,2.33,0.93
Crestline Components,SKU-00073,Body & Chassis,45.1,1.4,0.81
Pinnacle Fasteners Co,SKU-00156,Suspension,46.6,2.99,15.19
Meridian Electronics,SKU-00353,Brake Systems,51.8,0.57,1.11
Pinnacle Fasteners Co,SKU-00520,Interior Trim,68.7,1.45,15.45
Silverline Plastics,SKU-00424,Interior Trim,36.8,2.58,1.69
BlueRidge Rubber & Seals,SKU-00219,Body & Chassis,51.7,2.64,1.84
Falcon Wiring Harness,SKU-00123,Suspension,32.4,2.77,1.23
Summit Casting Group,SKU-00500,Body & Chassis,50.1,5.13,3.28
Quantum Sensor Corp,SKU-00144,Body & Chassis,53.6,2.41,0.65
Atlas Suspension Ltd,SKU-00178,Electrical Systems,29.1,3.78,1.57
Granite Bearing Co,SKU-00502,Suspension,36.6,2.33,1.35
Granite Bearing Co,SKU-00293,Sensors,30.3,2.45,1.49
Meridian Electronics,SKU-00138,Engine Components,36.1,1.72,2.62
EverTrust Powertrain,SKU-00003,Suspension,42.2,2.32,2.68
IronClad Metal Works,SKU-00224,Brake Systems,43.3,14.75,2.58
Silverline Plastics,SKU-00513,Fasteners,53.0,2.35,2.26
Volt Precision Parts,SKU-00225,Exhaust Systems,267.0,1.64,2.82
Meridian Electronics,SKU-00364,Fasteners,50.3,2.96,2.42
Cobalt Hydraulics,SKU-00132,Interior Trim,45.6,3.2,2.95
Pinnacle Fasteners Co,SKU-00404,Sensors,55.9,2.4,17.94
Atlas Suspension Ltd,SKU-00404,Sensors,47.7,3.13,2.43
Horizon Interior Trim,SKU-00317,Exhaust Systems,48.0,1.76,2.76
Meridian Electronics,SKU-00402,Exhaust Systems,79.1,2.13,2.26
Falcon Wiring Harness,SKU-00301,Transmission Parts,39.6,2.01,3.44
Silverline Plastics,SKU-00197,Transmission Parts,36.9,2.03,0.93
Silverline Plastics,SKU-00384,Brake Systems,35.9,0.79,2.71
Vanguard Brake Systems,SKU-00435,Body & Chassis,78.6,2.13,0.87
NorthStar Exhaust Systems,SKU-00438,Sensors,55.8,1.77,3.24
Meridian Electronics,SKU-00111,Brake Systems,41.6,1.87,2.06
Meridian Electronics,SKU-00352,Engine Components,54.1,2.27,1.8
Pinnacle Fasteners Co,SKU-00003,Suspension,42.6,1.23,14.77
EverTrust Powertrain,SKU-00298,Body & Chassis,23.6,2.06,2.81
Silverline Plastics,SKU-00298,Body & Chassis,48.6,3.09,2.15
Granite Bearing Co,SKU-00190,Transmission Parts,59.0,3.42,2.56
NorthStar Exhaust Systems,SKU-00517,Fasteners,56.1,3.25,1.85
Titan Forge Industries,SKU-00460,Electrical Systems,28.9,2.92,2.64
NorthStar Exhaust Systems,SKU-00021,Interior Trim,58.1,1.56,1.47
NorthStar Exhaust Systems,SKU-00109,Body & Chassis,50.5,2.43,0.69
Horizon Interior Trim,SKU-00109,Body & Chassis,49.5,0.65,1.44
IronClad Metal Works,SKU-00467,Electrical Systems,61.2,24.21,1.23
IronClad Metal Works,SKU-00270,Interior Trim,41.0,16.19,3.62
EverTrust Powertrain,SKU-00380,Brake Systems,39.1,2.02,3.44
Titan Forge Industries,SKU-00422,Suspension,40.5,3.22,1.02
EverTrust Powertrain,SKU-00400,Transmission Parts,42.9,0.84,1.36
Pinnacle Fasteners Co,SKU-00047,Body & Chassis,55.1,2.45,12.48
Crestline Components,SKU-00073,Body & Chassis,36.0,2.28,2.44
Meridian Electronics,SKU-00206,Brake Systems,56.8,0.0,1.53
Meridian Electronics,SKU-00176,Body & Chassis,46.9,2.4,2.52
Apex Drivetrain Solutions,SKU-00389,Fasteners,190.7,10.09,1.78
IronClad Metal Works,SKU-00082,Body & Chassis,42.1,21.17,1.61
Silverline Plastics,SKU-00194,Transmission Parts,44.2,2.68,3.45
Vanguard Brake Systems,SKU-00124,Body & Chassis,41.4,3.46,3.19
BlueRidge Rubber & Seals,SKU-00099,Suspension,44.2,2.29,1.94
Titan Forge Industries,SKU-00090,Fasteners,41.9,3.35,2.38
Atlas Suspension Ltd,SKU-00102,Electrical Systems,47.8,1.37,1.43
NorthStar Exhaust Systems,SKU-00294,Transmission Parts,70.7,2.32,1.58
Pinnacle Fasteners Co,SKU-00214,Body & Chassis,62.2,2.78,15.35
EverTrust Powertrain,SKU-00227,Fasteners,43.3,2.18,2.06
Cobalt Hydraulics,SKU-00250,Engine Components,28.4,2.41,2.44
Falcon Wiring Harness,SKU-00386,Electrical Systems,67.2,2.59,0.33
Titan Forge Industries,SKU-00449,Interior Trim,43.9,5.24,2.89
IronClad Metal Works,SKU-00274,Sensors,35.3,18.66,1.61
Silverline Plastics,SKU-00334,Fasteners,28.8,2.15,2.27
Vanguard Brake Systems,SKU-00385,Engine Components,22.5,1.35,2.21
Volt Precision Parts,SKU-00360,Exhaust Systems,287.6,2.89,1.23
Vanguard Brake Systems,SKU-00070,Body & Chassis,53.6,1.32,3.51
Cobalt Hydraulics,SKU-00512,Exhaust Systems,24.4,1.41,2.53
BlueRidge Rubber & Seals,SKU-00086,Exhaust Systems,65.0,2.82,2.65
Granite Bearing Co,SKU-00215,Exhaust Systems,45.2,1.47,1.81
Granite Bearing Co,SKU-00340,Sensors,30.5,1.22,2.52
Meridian Electronics,SKU-00210,Exhaust Systems,31.5,2.82,1.16
Silverline Plastics,SKU-00127,Engine Components,48.6,2.01,3.33
Horizon Interior Trim,SKU-00481,Brake Systems,48.9,3.74,1.6
Orion Chassis Works,SKU-00038,Fasteners,45.7,1.52,1.87
Apex Drivetrain Solutions,SKU-00128,Exhaust Systems,169.5,8.82,1.23
EverTrust Powertrain,SKU-00517,Fasteners,28.0,0.16,1.35
Summit Casting Group,SKU-00380,Brake Systems,52.5,0.9,1.11
Volt Precision Parts,SKU-00046,Sensors,408.5,1.86,2.46
Horizon Interior Trim,SKU-00393,Transmission Parts,52.7,3.16,0.98
IronClad Metal Works,SKU-00505,Brake Systems,42.2,8.72,4.16
IronClad Metal Works,SKU-00051,Exhaust Systems,25.9,11.28,1.37
Orion Chassis Works,SKU-00216,Brake Systems,27.0,3.85,4.14
Quantum Sensor Corp,SKU-00244,Suspension,39.3,1.18,0.41
Silverline Plastics,SKU-00069,Engine Components,42.1,2.18,1.68
Vanguard Brake Systems,SKU-00105,Exhaust Systems,47.7,2.9,2.46
Falcon Wiring Harness,SKU-00091,Body & Chassis,41.2,1.4,2.73
Horizon Interior Trim,SKU-00097,Brake Systems,45.2,3.39,2.83
Orion Chassis Works,SKU-00210,Exhaust Systems,27.9,1.07,1.6
BlueRidge Rubber & Seals,SKU-00242,Interior Trim,32.3,3.26,2.48
Titan Forge Industries,SKU-00124,Body & Chassis,58.2,2.9,2.37
EverTrust Powertrain,SKU-00151,Fasteners,59.4,2.97,2.25
Vanguard Brake Systems,SKU-00100,Electrical Systems,62.8,2.62,1.96
Pinnacle Fasteners Co,SKU-00414,Electrical Systems,34.9,3.2,17.46
Orion Chassis Works,SKU-00111,Brake Systems,44.4,3.81,0.62
Cobalt Hydraulics,SKU-00472,Fasteners,44.3,2.46,1.62
Volt Precision Parts,SKU-00281,Brake Systems,441.1,2.43,1.87
Horizon Interior Trim,SKU-00418,Electrical Systems,45.3,0.5,1.59
Silverline Plastics,SKU-00331,Interior Trim,56.8,1.87,1.54
Granite Bearing Co,SKU-00139,Transmission Parts,60.7,3.84,2.61
EverTrust Powertrain,SKU-00313,Electrical Systems,39.5,2.26,1.56
NorthStar Exhaust Systems,SKU-00143,Brake Systems,33.1,1.46,1.71
Orion Chassis Works,SKU-00062,Exhaust Systems,32.6,0.94,2.38
Summit Casting Group,SKU-00133,Engine Components,47.8,4.2,1.67
EverTrust Powertrain,SKU-00144,Body & Chassis,48.6,2.81,2.0
Quantum Sensor Corp,SKU-00071,Exhaust Systems,53.9,3.28,2.46
Falcon Wiring Harness,SKU-00013,Exhaust Systems,41.9,2.14,1.11
Atlas Suspension Ltd,SKU-00491,Sensors,35.3,1.88,1.3
